geographic_area,geographic_name,gender,age,year,time_period,time_period_dates,rate_of_pregnant_women_with_oud_diagnosis,type_of_rate,number_of_women_with_a_delivery_and_oud_diagnosis,number_of_women_with_a_delivery_and_oud_diagnosis_notes,number_of_women_with_a_delivery_and_oud_description,total_number_of_deliveries,total_number_of_deliveries_notes,total_number_of_deliveries_description,county_code_number,county_code_text,state_fips_code,county_fips_code,georeferenced_latitude_longitude,county,date,age_group,tot_pop,tot_male,tot_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,wac_male,wac_female,bac_male,bac_female,iac_male,iac_female,aac_male,aac_female,nac_male,nac_female,nh_male,nh_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,nhwac_male,nhwac_female,nhbac_male,nhbac_female,nhiac_male,nhiac_female,nhaac_male,nhaac_female,nhnac_male,nhnac_female,h_male,h_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,hwac_male,hwac_female,hbac_male,hbac_female,hiac_male,hiac_female,haac_male,haac_female,hnac_male,hnac_female,geo_id_ct,region,subreg3,met_nonmet2023,met_nonmet2013,beale2013,hi_pov60,hi_pov70,hi_pov80,hi_pov90,hi_pov00,hi_pov0711,hi_pov1519,hi_pov1721,ext_pov60,ext_pov70,ext_pov80,ext_pov90,ext_pov00,ext_pov0711,ext_pov1519,ext_pov1721,per_pov90,per_pov00,per_pov0711,per_pov1519,per_pov1721,endure_pov0711,endure_pov1519,endure_pov1721
County,Sullivan,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,30,NA,Deliveries (live births or still births),57,57,42,113,POINT (-76.5147922 41.4480994),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lehigh,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,23.67,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",45,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1901,NA,Deliveries (live births or still births),39,39,42,077,POINT (-75.60099481 40.61464794),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Philadelphia,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,26.75,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",344,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,12861,NA,Deliveries (live births or still births),51,51,42,101,POINT (-75.140236 40.00444354),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Bucks,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,84.03,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",120,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1428,NA,Deliveries (live births or still births),9,09,42,017,POINT (-75.11291241 40.33501133),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Cumberland,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,41.15,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",33,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,802,NA,Deliveries (live births or still births),21,21,42,041,POINT (-77.26866271 40.16759839),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Allegheny,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,58.75,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",235,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,4000,NA,Deliveries (live births or still births),2,02,42,003,POINT (-79.98619843 40.46735543),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Beaver,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,97.9,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",56,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,572,NA,Deliveries (live births or still births),4,04,42,007,POINT (-80.35107356 40.68349246),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Montgomery,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,44.04,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",85,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1930,NA,Deliveries (live births or still births),46,46,42,091,POINT (-75.37252001 40.20989874),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Montgomery,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,42.73,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",82,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1919,NA,Deliveries (live births or still births),46,46,42,091,POINT (-75.37252001 40.20989874),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lancaster,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,29.84,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",60,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2011,NA,Deliveries (live births or still births),36,36,42,071,POINT (-76.25138768 40.04590796),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Bucks,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,84.07,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",123,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1463,NA,Deliveries (live births or still births),9,09,42,017,POINT (-75.11291241 40.33501133),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Centre,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,50.39,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",13,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,258,NA,Deliveries (live births or still births),14,14,42,027,POINT (-77.82500112 40.9193135),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Juniata,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,89,NA,Deliveries (live births or still births),34,34,42,067,POINT (-77.405775 40.53433008),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Philadelphia,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,27.18,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",340,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,12510,NA,Deliveries (live births or still births),51,51,42,101,POINT (-75.140236 40.00444354),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Fulton,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,61,NA,Deliveries (live births or still births),29,29,42,057,POINT (-78.11485045 39.92487511),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Beaver,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,59.86,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",34,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,568,NA,Deliveries (live births or still births),4,04,42,007,POINT (-80.35107356 40.68349246),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Columbia,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,275,NA,Deliveries (live births or still births),19,19,42,037,POINT (-76.4100218 41.04912086),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Venango,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,108.33,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",26,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,240,NA,Deliveries (live births or still births),61,61,42,121,POINT (-79.76286561 41.40341259),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Venango,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,145.73,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",29,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,199,NA,Deliveries (live births or still births),61,61,42,121,POINT (-79.76286561 41.40341259),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Wyoming,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,132,NA,Deliveries (live births or still births),66,66,42,131,POINT (-76.01813003 41.51892488),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lycoming,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,90.91,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",48,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,528,NA,Deliveries (live births or still births),41,41,42,081,POINT (-77.06942457 41.34459792),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Fulton,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,67,NA,Deliveries (live births or still births),29,29,42,057,POINT (-78.11485045 39.92487511),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lancaster,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,33.63,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",65,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1933,NA,Deliveries (live births or still births),36,36,42,071,POINT (-76.25138768 40.04590796),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Centre,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,65.5,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",15,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,229,NA,Deliveries (live births or still births),14,14,42,027,POINT (-77.82500112 40.9193135),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Fulton,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,59,NA,Deliveries (live births or still births),29,29,42,057,POINT (-78.11485045 39.92487511),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Philadelphia,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,26.79,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",321,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,11981,NA,Deliveries (live births or still births),51,51,42,101,POINT (-75.140236 40.00444354),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
